Year,Movie,Total for Year($)
1995,Batman Forever,183997904
1996,Independence Day,306124059
1997,Men in Black,250107128
1998,Titanic,443319081
1999,Star Wars Ep. I: The Phantom Menace,430443350
2000,How the Grinch Stole Christmas,253367455
2001,Harry Potter and the Sorcerer’s Stone,291594218
2002,Spider-Man,403706375
2003,Finding Nemo,339714367
2004,Shrek 2,436471036
2005,Star Wars Ep. III: Revenge of the Sith,380262555
2006,Pirates of the Caribbean: Dead Man's Chest,423315812
2007,Spider-Man 3,336530303
2008,The Dark Knight,531001578
2009,Transformers: Revenge of the Fallen,402111870
2010,Toy Story 3,415004880
2011,Harry Potter and the Deathly Hallows: Part II,381011219
2012,The Avengers,623279547
2013,Iron Man 3,408992272
2014,Guardians of the Galaxy,333055258
2015,Star Wars Ep. VII: The Force Awakens,742208942
2016,Star Wars Ep. VII: The Force Awakens,69802101
